cell_type1,cell_ontology_class,cell_ontology_id,remark,study
ciliated epithelial cell,ciliated epithelial cell of esophagus,CL:2000098,exact,Gao_Esophagus
KRT6B+ secretory progenitor cell,,,,Gao_Esophagus
epithelial cell,epithelial cell of esophagus,CL:0002252,exact,Gao_Esophagus
