cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study,
24hpf-pharyngeal arch - lbx1a,pharyngeal arch,embryonic cell,CL:0002321,larger than exact,Wagner,
24hpf-neural crest - xanthophore,xanthophore cell,xanthophore cell,CL:0000430,exact,Wagner,
24hpf-neural crest - melanoblast,melanoblast,melanoblast,CL:0000541,exact,Wagner,
24hpf-neural crest - iridoblast,iridoblast,iridoblast,CL:0005001,exact,Wagner,
24hpf-neural crest - grem2,neural crest,neural crest cell,CL:0011012,exact,Wagner,
24hpf-neural crest - mcamb,neural crest,neural crest cell,CL:0011012,exact,Wagner,
24hpf-pronephric duct,pronephric duct,pronephric nephron tubule epithelial cell,CL:1000090,exact,Wagner,
24hpf-proctodeum,proctodeum,embryonic cell,CL:0002321,larger than exact,Wagner,
24hpf-epidermal - s100a11,epidermal,epidermal cell,CL:0000362,exact,Wagner,
24hpf-lateral line - krt15,lateral line ,lateral line nerve glial cell,CL:0008021,exact,Wagner,
24hpf-epidermal - and1,epidermal,epidermal cell,CL:0000362,exact,Wagner,
24hpf-epidermal - acbd7,epidermal,epidermal cell,CL:0000362,exact,Wagner,
24hpf-epidermal - rbp4,epidermal,epidermal cell,CL:0000362,exact,Wagner,
24hpf-epidermal - col7a1l,epidermal,epidermal cell,CL:0000362,exact,Wagner,
24hpf-epidermal - kera,epidermal,epidermal cell,CL:0000362,exact,Wagner,
